dataModel,deviceId,dataPoint,dateObserved,value,latitude,longitude
Elogistik,pt91286,traveledDistance,2018-07-24T21:54:51-03:00,29,48.206001281738,16.397239685059
Elogistik,pt91286,traveledDistance,2018-07-23T21:54:49-03:00,29,48.206001281738,16.397239685059
Elogistik,pt91286,traveledDistance,2018-07-20T21:54:48-03:00,26,48.206001281738,16.397239685059
Elogistik,pt91286,traveledDistance,2018-07-19T21:54:45-03:00,27,48.206001281738,16.397239685059
Elogistik,pt91286,traveledDistance,2018-07-18T21:54:44-03:00,25,48.206001281738,16.397239685059
Elogistik,pt91286,traveledDistance,2018-07-17T21:54:41-03:00,27,48.206001281738,16.397239685059
Elogistik,pt91286,traveledDistance,2018-07-16T21:54:40-03:00,27,48.206001281738,16.397239685059
Elogistik,pt91286,traveledDistance,2018-07-15T21:54:39-03:00,28,48.206001281738,16.397239685059
Elogistik,pt91286,traveledDistance,2018-07-13T21:54:38-03:00,28,48.206001281738,16.397239685059
Elogistik,pt91286,traveledDistance,2018-07-12T21:54:37-03:00,29,48.206001281738,16.397239685059
Elogistik,pt91286,traveledDistance,2018-07-11T21:54:37-03:00,29,48.206001281738,16.397239685059
Elogistik,pt91286,traveledDistance,2018-07-10T21:54:36-03:00,27,48.206001281738,16.397239685059
Elogistik,pt91286,traveledDistance,2018-07-09T21:54:35-03:00,26,48.206001281738,16.397239685059
Elogistik,pt91286,traveledDistance,2018-07-06T21:54:34-03:00,26,48.206001281738,16.397239685059
Elogistik,pt91286,traveledDistance,2018-07-05T21:54:33-03:00,27,48.206001281738,16.397239685059
Elogistik,pt91286,traveledDistance,2018-07-04T21:54:32-03:00,27,48.206001281738,16.397239685059
Elogistik,pt91286,traveledDistance,2018-06-12T21:54:31-03:00,45,48.206001281738,16.397239685059
Elogistik,pt91286,traveledDistance,2018-06-08T21:54:27-03:00,45,48.206001281738,16.397239685059
Elogistik,pt91286,traveledDistance,2018-06-07T21:54:26-03:00,42,48.206001281738,16.397239685059
